condition,channels,M_QAM,ldpc_rate,lambda_nm,distance_km,tx_aperture_m,rx_aperture_m,opt_eff,rain_rate_mmph,visibility_km,Cn2,alpha_shape,beta_shape,loss_geom_dB,loss_rain_dB,loss_fog_dB,loss_sys_dB,loss_total_dB,SNRdB_reference,SNRdB_LDPC,SNRdB_GrayLDPC,BER_reference,BER_LDPC,BER_GrayLDPC,coding_gain_dB,gray_gain_dB,spectral_efficiency_bpsHz
Turbulence,16,16,0.75,1545,4.431,0.056,0.091,0.634,0.0,31.128,1.742156113691994e-14,5.407,1.886,4.28,0.0,0.15,1.98,6.4,15.86,17.42,17.95,0.004253722257389654,0.0008019070013588549,0.00039144576259173214,1.56,0.53,3.0
Rain,32,4,0.75,1555,1.607,0.048,0.069,0.8,22.251,24.484,1.809948380749019e-16,8.571,7.022,-0.0,13.82,0.07,0.97,14.86,19.08,21.19,22.12,1e-12,1e-12,1e-12,2.11,0.92,1.5
Turbulence,16,64,0.5,1555,2.7,0.034,0.087,0.847,0.0,25.957,4.923649920928658e-14,4.385,2.079,4.82,0.0,0.11,0.72,5.64,12.29,16.69,17.56,0.13357975896725252,0.06589389565295514,0.05146542065397411,4.39,0.87,3.0
Turbulence,16,16,0.5,1555,0.634,0.08,0.133,0.69,0.0,21.721,4.301285104146301e-15,3.27,3.217,-0.0,0.0,0.03,1.61,1.64,18.87,23.19,23.89,8.999133537189443e-05,1.7736342895479955e-10,4.5627108839694184e-12,4.32,0.7,2.0
Clear,8,64,0.75,1555,0.54,0.039,0.104,0.816,0.0,16.519,4.915052668277944e-16,8.29,4.879,-0.0,0.0,0.03,0.88,0.91,22.49,24.15,24.82,0.002937175961300623,0.0004100910181455489,0.0001467107833886538,1.66,0.67,4.5
Mixed,4,16,0.75,1545,3.675,0.043,0.075,0.791,7.717,3.17,2.1824980031572316e-14,5.479,1.52,6.64,15.55,1.89,1.02,25.09,16.91,18.9,19.94,0.001475740770927247,8.462264058101642e-05,1.0402539173669234e-05,1.99,1.04,3.0
Turbulence,8,64,0.75,1550,1.032,0.042,0.088,0.828,0.0,20.576,8.545258368768925e-15,5.678,3.886,-0.0,0.0,0.05,0.82,0.87,18.78,20.95,21.5,0.03317651391355369,0.010317263905454744,0.006938648472626985,2.18,0.55,4.5
Turbulence,16,16,0.5,1550,2.965,0.075,0.146,0.706,0.0,29.864,3.4273025016000807e-14,4.557,3.813,-0.0,0.0,0.1,1.51,1.61,16.17,19.93,20.63,0.0031801893829081366,1.066617555666605e-05,1.9126983471915548e-06,3.76,0.7,2.0
Clear,4,4,0.75,1560,3.632,0.068,0.099,0.625,0.0,36.67,1.1036282452145264e-16,7.967,7.165,0.22,0.0,0.1,2.04,2.36,31.88,33.66,34.65,1e-12,1e-12,1e-12,1.78,0.99,1.5
Fog,4,4,0.5,1555,0.645,0.053,0.1,0.63,0.0,8.062,2.6886885307748797e-16,6.518,4.995,-0.0,0.0,0.08,2.01,2.09,30.79,33.85,34.49,1e-12,1e-12,1e-12,3.06,0.65,1.0
